Sample	Name	Reads1WithAdapter	Reads2WithAdapter
290	1562	0	0
291	1565	0	0
292	1574	0	0
293	1583	0	0
294	1593	0	0
295	1626	0	0
296	1630	0	0
297	1637	0	0
298	1645	0	0
299	1662	0	0
300	1670	0	0
301	1678	0	0
302	1701	0	0
303	1707	0	0
304	1719	0	0
305	1730	0	0
306	1740	0	0
307	1759	0	0
308	1776	0	0
309	1864	0	0
310	1976	0	0
311	2032	0	0
312	2168	0	0
313	2190	0	0
314	2196	0	0
315	2216	0	0
316	2247	0	0
317	2295	0	0
318	2313	0	0
319	2318	0	0
320	2331	0	0
321	2362	0	0
322	2363	0	0
323	2367	0	0
324	2372	0	0
325	2378	0	0
326	2381	0	0
327	2401	0	0
328	2403	0	0
329	2406	0	0
330	2419	0	0
331	2434	0	0
332	2447	0	0
333	2448	0	0
334	2519	0	0
335	2170	0	0
336	3115	0	0
337	351	0	0
338	397	0	0
339	679	0	0
340	1428	0	0
341	1519	0	0
342	1538	0	0
343	1545	0	0
344	1588	0	0
345	1591	0	0
346	1635	0	0
347	1649	0	0
348	1653	0	0
349	1656	0	0
350	1665x	0	0
351	1675	0	0
352	1639	0	0
353	1700	0	0
354	1717	0	0
355	1724x	0	0
356	1732	0	0
357	1799	0	0
358	1802	0	0
359	1807	0	0
360	1816	0	0
361	1833	0	0
362	1876	0	0
363	1993	0	0
364	1999	0	0
365	2008	0	0
366	2023	0	0
367	2268	0	0
368	2279	0	0
369	2281	0	0
370	2298	0	0
371	2326	0	0
372	2337	0	0
373	2351	0	0
374	2388	0	0
375	2402	0	0
376	2428	0	0
377	2437	0	0
378	2440	0	0
379	2460	0	0
380	2472	0	0
381	2489	0	0
382	2497	7	0
383	2503	0	0
384	3201	0	0
